Operasi,Volume,Client Pool,Server Pool,Waktu Total per Client (s),Throughput per Client (B/s),Client Sukses/Gagal,Server Sukses/Gagal
upload,10MB,1,1,0.0024,4392453.65,1/0,1/0
upload,10MB,1,5,0.0017,6145116.43,1/0,1/0
upload,10MB,1,50,0.0018,5946965.46,1/0,1/0
upload,10MB,5,1,0.0032,3499005.07,5/0,5/0
upload,10MB,5,5,0.0032,3388534.21,5/0,5/0
upload,10MB,5,50,0.0034,3214332.87,5/0,5/0
upload,10MB,50,1,0.0225,525541.66,50/0,50/0
upload,10MB,50,5,0.0217,519528.19,50/0,50/0
upload,10MB,50,50,0.0227,505201.77,50/0,50/0
upload,50MB,1,1,0.002,5410687.46,1/0,1/0
upload,50MB,1,5,0.0021,5046617.43,1/0,1/0
upload,50MB,1,50,0.0019,5570081.4,1/0,1/0
upload,50MB,5,1,0.0036,3011543.38,5/0,5/0
upload,50MB,5,5,0.0034,3177069.48,5/0,5/0
upload,50MB,5,50,0.0038,2966829.05,5/0,5/0
upload,50MB,50,1,0.0217,524365.3,50/0,50/0
upload,50MB,50,5,0.0228,516569.11,50/0,50/0
upload,50MB,50,50,0.0198,595630.02,50/0,50/0
upload,100MB,1,1,0.002,5316716.4,1/0,1/0
upload,100MB,1,5,0.0023,4658456.27,1/0,1/0
upload,100MB,1,50,0.0019,5518848.13,1/0,1/0
upload,100MB,5,1,0.0039,2790266.28,5/0,5/0
upload,100MB,5,5,0.0036,2998991.34,5/0,5/0
upload,100MB,5,50,0.0039,2783070.64,5/0,5/0
upload,100MB,50,1,0.023,508722.03,50/0,50/0
upload,100MB,50,5,0.0224,513807.8,50/0,50/0
upload,100MB,50,50,0.0201,552494.89,50/0,50/0
download,10MB,1,1,0.0086,1253990.07,1/0,1/0
download,10MB,1,5,0.0019,5598493.11,1/0,1/0
download,10MB,1,50,0.0024,4516780.85,1/0,1/0
download,10MB,5,1,0.0033,3315146.11,5/0,5/0
download,10MB,5,5,0.0033,3329109.15,5/0,5/0
download,10MB,5,50,0.0035,3111812.3,5/0,5/0
download,10MB,50,1,0.0194,439818.68,50/0,50/0
download,10MB,50,5,0.0193,469264.21,50/0,50/0
download,10MB,50,50,0.0198,425948.41,50/0,50/0
download,50MB,1,1,0.002,5406137.39,1/0,1/0
download,50MB,1,5,0.0025,4216706.11,1/0,1/0
download,50MB,1,50,0.0019,5635652.8,1/0,1/0
download,50MB,5,1,0.003,3626264.9,5/0,5/0
download,50MB,5,5,0.003,3607677.91,5/0,5/0
download,50MB,5,50,0.0035,3190065.24,5/0,5/0
download,50MB,50,1,0.0196,508269.79,50/0,50/0
download,50MB,50,5,0.0185,504959.34,50/0,50/0
download,50MB,50,50,0.0221,478720.47,50/0,50/0
download,100MB,1,1,0.0019,5561132.92,1/0,1/0
download,100MB,1,5,0.002,5462574.36,1/0,1/0
download,100MB,1,50,0.0022,4800073.35,1/0,1/0
download,100MB,5,1,0.0035,3217818.8,5/0,5/0
download,100MB,5,5,0.0035,3172241.6,5/0,5/0
download,100MB,5,50,0.0033,3331834.8,5/0,5/0
download,100MB,50,1,0.0201,451735.08,50/0,50/0
download,100MB,50,5,0.0207,441224.74,50/0,50/0
download,100MB,50,50,0.0205,515354.68,50/0,50/0
